"run","es.mean","r.vars","n.obs","n.vars","upper.pwr","lower.pwr","obs.power","true.edr","true.err","tot.mdl.edr","tot.mdl.err","sel.mdl.edr","sel.mdl.err","tot.mdl_bias.edr","tot.mdl_bias.err","tot.mdl_bias.OJS","tot.mdl_bias.EJS","tot.mdl_bias.P","sel.mdl_bias.edr","sel.mdl_bias.err","sel.mdl_bias.OJS","sel.mdl_bias.EJS","sel.mdl_bias.P"
34,0,0.75,30,2,0.025,0.025,0.05,0.05,0.025,0.0562037633698383,0.0474409135079801,0.0658923487517355,0.0740347316500119,0.0562037633698383,0.0474409135079801,0,0.02,1,0.0658923487517355,0.0740347316500119,0,0.02,1
35,0,0.75,30,5,0.025,0.025,0.05,0.05,0.025,0.05,0.025,0.0596747365372611,0.0579609212181786,0.05,0.025,0,0.02,1,0.0596747365372611,0.0579609212181786,0,0.02,1
36,0,0.75,30,10,0.025,0.025,0.05,0.05,0.025,0.0506967210958931,0.0277940218209164,0.0771384646286623,0.0965261728016125,0.0506967210958931,0.0277940218209164,0,0.02,1,0.0771384646286623,0.0965261728016125,0,0.02,1
37,0.25,0,15,2,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.10593645182367,0.132349542065543,0.135658285422323,0.173002874969638,0.10593645182367,0.132349542065543,0,0.02,1,0.135658285422323,0.173002874969638,0,0.02,1
38,0.25,0,15,5,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.143196950015596,0.157317911137869,0.235487099955294,0.312491093823556,0.143196950015596,0.157317911137869,0,0.02,1,0.235487099955294,0.312491093823556,0,0.02,1
39,0.25,0,15,10,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.11696274761209,0.251460932519692,0.516005273976175,0.515967793442332,0.11696274761209,0.251460932519692,0,0.02,1,0.516005273976175,0.515967793442332,0,0.02,1
40,0.25,0,20,2,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.148117420044477,0.159676147832586,0.191925423790548,0.227537863801029,0.148117420044477,0.159676147832586,0,0.02,1,0.191925423790548,0.227537863801029,0,0.02,1
41,0.25,0,20,5,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.173589609978088,0.17902924622472,0.255015769623227,0.341153552669616,0.173589609978088,0.17902924622472,0,0.02,1,0.255015769623227,0.341153552669616,0,0.02,1
42,0.25,0,20,10,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.221940807649389,0.289646096970059,0.569084771372955,0.595335761552019,0.221940807649389,0.289646096970059,0,0.02,1,0.569084771372955,0.595335761552019,0,0.02,1
43,0.25,0,30,2,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.180451228968095,0.19833638733744,0.239068184470895,0.318097707205455,0.180451228968095,0.19833638733744,0,0.02,1,0.239068184470895,0.318097707205455,0,0.02,1
44,0.25,0,30,5,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.22539773233844,0.295744605153853,0.522231911844919,0.526113577773937,0.22539773233844,0.295744605153853,0,0.02,1,0.522231911844919,0.526113577773937,0,0.02,1
45,0.25,0,30,10,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.18474596197752,0.409618880815251,0.835593350161593,0.841422844840828,0.18474596197752,0.409618880815251,0,0.02,1,0.835593350161593,0.841422844840828,0,0.02,1
